"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000091318","Gm5415",2.137,-2.442,0.26991534749971,0.507627105403461,0.153,0.917
"ENSMUSG00000056978","Hamp2",3.089,-2.776,0.269988934800827,0.507634553083467,0.217,1.194
"ENSMUSG00000038292","Ccdc155",-1.591,-2.17,0.269991003022614,0.507634553083467,0.114,0.933
"ENSMUSG00000028164","Manba",-0.202,6.628,0.270009430886152,0.507634553083467,0.251,0.139
"ENSMUSG00000066149","Cdc26",-0.266,4.461,0.270197191498657,0.507931042601436,0.179,0.182
"ENSMUSG00000018861","Fdxr",-0.372,3.416,0.2702483281805,0.507970661801344,0.174,0.255
"ENSMUSG00000060044","Tmem26",0.913,1.667,0.270564625614236,0.508452073357357,0.24,0.568
"ENSMUSG00000024566","Atp9b",0.202,6.392,0.270548895323454,0.508452073357357,0.245,0.136
"ENSMUSG00000027456","Sdcbp2",0.891,1.103,0.270675992868465,0.508548246329922,0.199,0.548
"ENSMUSG00000036199","Ndufa13",0.208,5.807,0.270670907170312,0.508548246329922,0.218,0.139
"ENSMUSG00000051517","Arhgef39",-0.462,2.717,0.270996492346011,0.509058468902769,0.171,0.316
"ENSMUSG00000024831","Ighmbp2",-0.331,3.756,0.271007810761588,0.509058468902769,0.175,0.227
"ENSMUSG00000060962","Dmkn",1.807,-1.389,0.271172677682851,0.509311538010984,0.184,0.931
"ENSMUSG00000025931","Paqr8",0.872,1.075,0.271247193715126,0.509394874349655,0.193,0.538
"ENSMUSG00000032425","Zfp949",-0.503,2.91,0.271321737770447,0.509478244787756,0.194,0.347
"ENSMUSG00000029158","Yipf7",4.253,-3.357,0.271376092242616,0.50952368963508,0.277,1.169
"ENSMUSG00000073565","Prr16",-2.292,-3.401,0.271460321431488,0.509568597150554,0.109,1.132
"ENSMUSG00000021610","Clptm1l",0.192,6.954,0.271444588824565,0.509568597150554,0.266,0.13
"ENSMUSG00000025178","Pi4k2a",0.2,7.065,0.271593834570194,0.509762592087874,0.276,0.135
"ENSMUSG00000036972","Zic4",-2.498,-3.356,0.271626112191789,0.509766553067176,0.124,1.133
"ENSMUSG00000000295","Hddc2",-0.515,2.577,0.271741579785231,0.509926620234407,0.179,0.355
"ENSMUSG00000031709","Tbc1d9",-0.186,8.169,0.271849841112835,0.510073130704495,0.3,0.129
"ENSMUSG00000038801","Scgb1c1",-2.582,-3.317,0.272125677867201,0.51047732067051,0.132,1.135
"ENSMUSG00000059995","Atxn7l3",0.205,5.865,0.272110308681079,0.51047732067051,0.218,0.138
"ENSMUSG00000038522","Mfsd4b1",4.273,-3.351,0.272200578698769,0.5105174601848,0.28,1.171
"ENSMUSG00000026251","Chrnd",4.333,-3.312,0.272207498891292,0.5105174601848,0.292,1.171
"ENSMUSG00000000365","Rnf17",-0.876,0.474,0.272255818535508,0.510527363998673,0.15,0.603
"ENSMUSG00000029203","Ube2k",-0.495,2.593,0.272273204187244,0.510527363998673,0.174,0.341
"ENSMUSG00000015093","Clic3",-0.802,0.354,0.272347853935149,0.510610677443264,0.134,0.535
"ENSMUSG00000033364","Usp37",0.268,4.58,0.272417998457202,0.5106855267284,0.19,0.178
"ENSMUSG00000098844","Mir6992",4.34,-3.33,0.272500565128027,0.510783643875031,0.29,1.172
"ENSMUSG00000032103","Pus3",-0.524,2.162,0.272599290891344,0.510912025009087,0.16,0.361
"ENSMUSG00000065471","Mir222",1.562,-2.083,0.272653228308809,0.510956443602336,0.117,0.833
"ENSMUSG00000046191","Pcdhb20",-1.813,-2.95,0.272708502715249,0.511003357605042,0.1,0.96
"ENSMUSG00000057113","Npm1",0.207,8.185,0.27279679796987,0.511112129071389,0.318,0.141
"ENSMUSG00000001027","Scn4a",-1.633,-1.73,0.27290827491387,0.511152186523826,0.134,1.037
"ENSMUSG00000035126","Wdr78",0.928,0.78,0.272922338472173,0.511152186523826,0.186,0.572
"ENSMUSG00000025732","Fam195a",-0.55,1.98,0.27295174304848,0.511152186523826,0.158,0.377
"ENSMUSG00000020185","E2f7",-0.48,2.59,0.272969424262694,0.511152186523826,0.169,0.331
"ENSMUSG00000078931","Pdf",-0.467,2.672,0.272850991473475,0.511152186523826,0.169,0.322
"ENSMUSG00000014554","Dguok",-0.274,4.285,0.273011176985693,0.511173725064181,0.174,0.188
"ENSMUSG00000084804","1700095J12Rik",4.407,-3.291,0.273129421504766,0.51133846272851,0.303,1.174
"ENSMUSG00000020770","Unk",0.255,4.893,0.273382083994598,0.511754786234708,0.2,0.17
"ENSMUSG00000040738","Ints8",-0.247,4.862,0.273412771598347,0.511755539927876,0.188,0.17
"ENSMUSG00000034175","Rhbdd3",0.399,3.285,0.273497377696182,0.511857203268368,0.183,0.262
"ENSMUSG00000024842","Cabp4",1.851,-1.382,0.273579911349308,0.511883150573661,0.19,0.952
"ENSMUSG00000097687","Cabp4",1.851,-1.382,0.273543176484439,0.511883150573661,0.19,0.952
"ENSMUSG00000059639","Clec4a4",1.261,-0.897,0.273602119539668,0.511883150573661,0.142,0.744
"ENSMUSG00000001767","Crnkl1",-0.23,4.965,0.273709860552178,0.51202803316846,0.183,0.158
"ENSMUSG00000042207","Kdm5b",0.35,4.063,0.273843036804193,0.512220460030689,0.205,0.233
"ENSMUSG00000052854","Nrk",-1.26,-1.849,0.273879358897932,0.512231699685363,0.1,0.732
"ENSMUSG00000019763","Rmnd1",0.252,4.933,0.27403011969111,0.512456945832268,0.199,0.169
"ENSMUSG00000000690","Hoxb6",4.334,-3.311,0.274084424551078,0.512459912967527,0.292,1.177
"ENSMUSG00000034757","Tmub2",0.217,5.267,0.27409235965206,0.512459912967527,0.194,0.146
"ENSMUSG00000019139","Isyna1",0.226,5.208,0.274180594268519,0.512568169260917,0.197,0.152
"ENSMUSG00000063687","Pcdhb5",1.603,-2.018,0.274688258454231,0.513460419398185,0.127,0.742
"ENSMUSG00000021933","Gucy1b2",2.424,-2.668,0.274826601448819,0.513578602004935,0.165,0.953
"ENSMUSG00000063021","Hist1h2ak",-1.482,-1.285,0.274828132186182,0.513578602004935,0.14,0.99
"ENSMUSG00000051444","Bbs12",1.022,0.336,0.274842661731011,0.513578602004935,0.177,0.617
"ENSMUSG00000031585","Gtf2e2",0.279,4.501,0.274933189996298,0.513634167446926,0.192,0.186
"ENSMUSG00000025453","Nnt",-0.236,4.934,0.274927021457643,0.513634167446926,0.185,0.163
"ENSMUSG00000033491","Prss35",1.134,-0.504,0.275025391121979,0.513749619630688,0.146,0.674
"ENSMUSG00000021392","Nol8",-0.272,4.361,0.275077807481518,0.513790736246567,0.176,0.188
"ENSMUSG00000039545","Ppp1r3fos",-1.076,-0.951,0.275124443947987,0.513821049274214,0.115,0.698
"ENSMUSG00000018858","Mrpl58",-0.34,3.631,0.275324273906062,0.514137427391384,0.171,0.235
"ENSMUSG00000052031","Tagap1",-0.271,4.365,0.275499497463828,0.514350956595267,0.176,0.187
